RequestorODS,month,"requestor_supplier","registration_count","retry_count","retry_rate"
A82047,07,EMIS,33,13,"0.3939393939393939"
A82047,08,EMIS,55,23,"0.41818181818181815"
A82048,04,EMIS,14,12,"0.8571428571428571"
A82048,05,EMIS,17,7,"0.4117647058823529"
A82048,06,EMIS,9,4,"0.4444444444444444"
A82048,07,EMIS,11,5,"0.45454545454545453"
A82048,08,EMIS,8,6,"0.75"
A82049,04,EMIS,29,11,"0.3793103448275862"
A82049,05,EMIS,30,7,"0.23333333333333334"
A82049,06,EMIS,34,14,"0.4117647058823529"
A82049,07,EMIS,22,7,"0.3181818181818182"
A82049,08,EMIS,18,3,"0.16666666666666666"
A82050,04,EMIS,23,6,"0.2608695652173913"
A82050,05,EMIS,33,7,"0.21212121212121213"
A82050,06,EMIS,34,12,"0.35294117647058826"
A82050,07,EMIS,42,12,"0.2857142857142857"
A82050,08,EMIS,21,9,"0.42857142857142855"
A82053,04,EMIS,48,5,"0.10416666666666667"
A82053,05,EMIS,33,2,"0.06060606060606061"
A82053,06,EMIS,39,6,"0.15384615384615385"
A82053,07,EMIS,39,4,"0.10256410256410256"
A82053,08,EMIS,37,4,"0.10810810810810811"
A82055,04,EMIS,24,6,"0.25"
A82055,05,EMIS,26,2,"0.07692307692307693"
A82055,06,EMIS,22,2,"0.09090909090909091"
A82055,07,EMIS,31,4,"0.12903225806451613"
A82055,08,EMIS,44,16,"0.36363636363636365"
A82058,04,ISOFT,7,3,"0.42857142857142855"
A82058,05,ISOFT,8,2,"0.25"
A82058,06,ISOFT,14,6,"0.42857142857142855"
A82058,07,ISOFT,6,2,"0.3333333333333333"
A82058,08,ISOFT,11,4,"0.36363636363636365"
A82062,04,EMIS,15,8,"0.5333333333333333"
A82062,05,EMIS,19,4,"0.21052631578947367"
A82062,06,EMIS,16,5,"0.3125"
A82062,07,EMIS,26,8,"0.3076923076923077"
A82062,08,EMIS,15,5,"0.3333333333333333"
A82064,04,EMIS,21,6,"0.2857142857142857"
A82064,05,EMIS,14,9,"0.6428571428571429"
A82064,06,EMIS,21,10,"0.47619047619047616"
A82064,07,EMIS,27,4,"0.14814814814814814"
A82064,08,EMIS,20,6,"0.3"
A82065,04,EMIS,15,3,"0.2"
A82065,05,EMIS,21,3,"0.14285714285714285"
A82065,06,EMIS,13,1,"0.07692307692307693"
A82065,07,EMIS,20,3,"0.15"
A82065,08,EMIS,13,2,"0.15384615384615385"
A82068,04,EMIS,28,7,"0.25"
A82068,05,EMIS,26,8,"0.3076923076923077"
A82068,06,EMIS,26,3,"0.11538461538461539"
A82068,07,EMIS,26,5,"0.19230769230769232"
A82068,08,EMIS,18,1,"0.05555555555555555"
A82070,04,EMIS,17,16,"0.9411764705882353"
A82070,05,EMIS,7,5,"0.7142857142857143"
A82070,06,EMIS,6,1,"0.16666666666666666"
A82070,07,EMIS,1,0,0
A82070,08,EMIS,9,4,"0.4444444444444444"
A82071,04,EMIS,22,5,"0.22727272727272727"
A82071,05,EMIS,39,7,"0.1794871794871795"
A82071,06,EMIS,37,4,"0.10810810810810811"
A82071,07,EMIS,13,6,"0.46153846153846156"
A82071,08,EMIS,14,2,"0.14285714285714285"
A82072,04,EMIS,16,10,"0.625"
A82072,05,EMIS,21,5,"0.23809523809523808"
A82072,06,EMIS,27,6,"0.2222222222222222"
A82072,07,EMIS,8,4,"0.5"
A82072,08,EMIS,14,6,"0.42857142857142855"
A82075,04,EMIS,13,5,"0.38461538461538464"
A82075,05,EMIS,18,8,"0.4444444444444444"
A82075,06,EMIS,19,6,"0.3157894736842105"
A82075,07,EMIS,19,8,"0.42105263157894735"
A82075,08,EMIS,5,5,1
A82077,04,EMIS,7,2,"0.2857142857142857"
A82077,05,EMIS,5,3,"0.6"
A82077,06,EMIS,15,7,"0.4666666666666667"
