"RequestorODS","RequestTime","ConversationID","RequestErrorDescription","attachment_size_mb","attachment_limit_mb"
"G81689","2020-02-28T15:01:06","25C4DB90-5A3B-11EA-A351-87AC9DD1C6C4","Attachment size : 72971372 is larger than TPP limit : 62914560","69","60"
"H82032","2020-02-24T13:50:39","A5F89FE0-570C-11EA-9483-4FD5545DCE9D","Attachment size : 73634104 is larger than TPP limit : 62914560","70","60"
"J82009","2020-02-24T12:36:35","499D5420-5702-11EA-840A-95C0B07940E2","Attachment size : 83394360 is larger than TPP limit : 62914560","79","60"
"J83042","2020-02-24T14:05:21","B2DB5A20-570E-11EA-A6B2-15E5D7C3BA40","Attachment size : 125093772 is larger than TPP limit : 62914560","119","60"
"E87756","2020-02-25T15:27:31","56C0A580-57E3-11EA-9FCB-CB275B817806","Attachment size : 88387408 is larger than TPP limit : 62914560","84","60"
"L83066","2020-02-24T19:40:02","7427D310-573D-11EA-93A5-D92D1A69D07C","Attachment size : 73632028 is larger than TPP limit : 62914560","70","60"
"L83030","2020-02-26T08:32:27","86085330-5872-11EA-9D09-AB012BC30C83","Attachment size : 72971372 is larger than TPP limit : 62914560","69","60"
"M88640","2020-02-28T15:45:09","4CFFFB80-5A41-11EA-BB1D-BF4F4D3F5AB4","Attachment size : 77837064 is larger than TPP limit : 62914560","74","60"
"Y00560","2020-02-24T15:26:25","0622C690-571A-11EA-B99B-7147F1B522E9","Attachment size : 94091360 is larger than TPP limit : 62914560","89","60"
"P92607","2020-02-24T08:56:20","85B30B90-56E3-11EA-83FE-9510940B41A1","Attachment size : 74751000 is larger than TPP limit : 62914560","71","60"
"Y02847","2020-02-24T10:56:06","41122AA0-56F4-11EA-9ABC-7FC279B45E2C","Attachment size : 93433176 is larger than TPP limit : 62914560","89","60"
"Y02847","2020-02-24T12:26:29","E0FDFE20-5700-11EA-9ABC-7FC279B45E2C","Attachment size : 72971372 is larger than TPP limit : 62914560","69","60"
"Y00411","2020-02-24T15:34:40","2D35B750-571B-11EA-AAA0-696B58F1485F","Attachment size : 72971372 is larger than TPP limit : 62914560","69","60"
